YEAR,MONTH,URBAN,NON URBAN,UHII,% GROWTH URBAN,% GROWTH NONURBAN,AOI,,
2001,January,21.58,21,0.58,,,21.29,,
,February,27.57,26.24,1.33,0.28,0.25,26.905,,5.99
,March,34.96,33.65,1.31,0.27,0.28,34.305,,
,April,41.03,40.69,0.34,0.17,0.21,40.86,,
,May,35.87,35.7,0.17,-0.13,-0.12,35.785,,
,June,35.49,35.52,-0.03,-0.01,-0.01,35.505,,
,July,33.03,31.54,1.49,-0.07,-0.11,32.285,,
,August,30.76,29.13,1.63,-0.07,-0.08,29.945,,
,September,33.11,32.11,1,0.08,0.1,32.61,,
,October,32.09,31.35,0.74,-0.03,-0.02,31.72,,
,November,28.26,27.97,0.29,-0.12,-0.11,28.115,,
,December,23.98,23.6,0.38,-0.15,-0.16,23.79,,
2002,January,20.28,19.89,0.39,-0.15,-0.16,20.085,,
,February,26.01,24.44,1.57,0.28,0.23,25.225,,
,March,35.38,34.04,1.34,0.36,0.39,34.71,,
,April,37.39,37.35,0.04,0.06,0.1,37.37,,
,May,36.78,36.83,-0.05,-0.02,-0.01,36.805,,
,June,35.09,36.68,-1.59,-0.05,0,35.885,,
,July,35.42,36.05,-0.63,0.01,-0.02,35.735,,
,August,36.82,36.15,0.67,0.04,0,36.485,,
,September,31.99,31.01,0.98,-0.13,-0.14,31.5,,
,October,32.12,31.67,0.45,0,0.02,31.895,,
,November,28.78,28.67,0.11,-0.1,-0.09,28.725,,
,December,23.9,23.66,0.24,-0.17,-0.17,23.78,,
2003,January,22.38,21.57,0.81,-0.06,-0.09,21.975,,
,February,25.92,24.48,1.44,0.16,0.13,25.2,,
,March,32.63,31.08,1.55,0.26,0.27,31.855,,
,April,39.28,38.89,0.39,0.2,0.25,39.085,,
,May,37.66,38.07,-0.41,-0.04,-0.02,37.865,,
,June,37.74,38.41,-0.67,0,0.01,38.075,,
,July,37.54,36.51,1.03,-0.01,-0.05,37.025,,
,August,33.91,32.43,1.48,-0.1,-0.11,33.17,,
,September,31.91,30.35,1.56,-0.06,-0.06,31.13,,
,October,32.94,32.17,0.77,0.03,0.06,32.555,,
,November,27.99,27.9,0.09,-0.15,-0.13,27.945,,
,December,25.7,25.57,0.13,-0.08,-0.08,25.635,,
2004,January,20.05,18.84,1.21,-0.22,-0.26,19.445,,
,February,26.29,24.7,1.59,0.31,0.31,25.495,,
,March,34.56,33.26,1.3,0.31,0.35,33.91,,
,April,37.03,36.54,0.49,0.07,0.1,36.785,,
,May,38.34,38.54,-0.2,0.04,0.05,38.44,,
,June,33.71,33.39,0.32,-0.12,-0.13,33.55,,
,July,27.47,26.05,1.42,-0.19,-0.22,26.76,,
,August,31.29,29.5,1.79,0.14,0.13,30.395,,
,September,33.29,31.36,1.93,0.06,0.06,32.325,,
,October,30.9,32.17,-1.27,-0.07,0.03,31.535,,
,November,27.25,27.35,-0.1,-0.12,-0.15,27.3,,
,December,22.99,22.82,0.17,-0.16,-0.17,22.905,,
2005,January,21.72,21.31,0.41,-0.06,-0.07,21.515,,
,February,26.84,25.64,1.2,0.24,0.2,26.24,,
,March,34.86,33.71,1.15,0.3,0.31,34.285,,
,April,39.38,39.48,-0.1,0.13,0.17,39.43,,
,May,38.16,38.26,-0.1,-0.03,-0.03,38.21,,
,June,39.85,40.22,-0.37,0.04,0.05,40.035,,
,July,33.46,32.52,0.94,-0.16,-0.19,32.99,,
,August,32.02,30.66,1.36,-0.04,-0.06,31.34,,
,September,33.25,31.81,1.44,0.04,0.04,32.53,,
,October,32.36,32.11,0.25,-0.03,0.01,32.235,,
,November,28.42,28.52,-0.1,-0.12,-0.11,28.47,,
,December,22.44,22.32,0.12,-0.21,-0.22,22.38,,
2006,January,22.71,22.53,0.18,0.01,0.01,22.62,,
,February,30.33,29.36,0.97,0.34,0.3,29.845,,
,March,36.26,35.35,0.91,0.2,0.2,35.805,,
,April,37.84,39.38,-1.54,0.04,0.11,38.61,,
,May,35.48,34.92,0.56,-0.06,-0.11,35.2,,
,June,35.08,33.96,1.12,-0.01,-0.03,34.52,,
,July,33.72,32.28,1.44,-0.04,-0.05,33,,
,August,34.84,32.95,1.89,0.03,0.02,33.895,,
,September,35.12,33.94,1.18,0.01,0.03,34.53,,
,October,33.34,32.71,0.63,-0.05,-0.04,33.025,,
,November,28.55,28.53,0.02,-0.14,-0.13,28.54,,
,December,23.9,23.52,0.38,-0.16,-0.18,23.71,,
2007,January,22.63,21.44,1.19,-0.05,-0.09,22.035,,
,February,25.41,23.97,1.44,0.12,0.12,24.69,,
,March,33.28,31.64,1.64,0.31,0.32,32.46,,
,April,37.47,37.44,0.03,0.13,0.18,37.455,,
,May,37.9,37.61,0.29,0.01,0,37.755,,
,June,36.85,36.9,-0.05,-0.03,-0.02,36.875,,
,July,34.9,33.28,1.62,-0.05,-0.1,34.09,,
,August,30.96,29.53,1.43,-0.11,-0.11,30.245,,
,September,33.84,32.12,1.72,0.09,0.09,32.98,,
,October,32.09,31.76,0.33,-0.05,-0.01,31.925,,
,November,28.59,28.72,-0.13,-0.11,-0.1,28.655,,
,December,22.95,23.05,-0.1,-0.2,-0.2,23,,
2008,January,20.6,20.86,-0.26,-0.1,-0.1,20.73,,
,February,26.65,25.54,1.11,0.29,0.22,26.095,,
,March,34.2,32.69,1.51,0.28,0.28,33.445,,
,April,39.69,39.41,0.28,0.16,0.21,39.55,,
,May,38.52,38.29,0.23,-0.03,-0.03,38.405,,
,June,37.02,36.96,0.06,-0.04,-0.03,36.99,,
,July,32.47,31.6,0.87,-0.12,-0.15,32.035,,
,August,32.44,31.1,1.34,0,-0.02,31.77,,
,September,32.25,30.74,1.51,-0.01,-0.01,31.495,,
,October,31.56,31.05,0.51,-0.02,0.01,31.305,,
,November,27.24,27.1,0.14,-0.14,-0.13,27.17,,
,December,23.91,23.31,0.6,-0.12,-0.14,23.61,,
2009,January,23.26,22.03,1.23,-0.03,-0.05,22.645,,
,February,27.92,26.5,1.42,0.2,0.2,27.21,,
,March,34.38,33,1.38,0.23,0.25,33.69,,
,April,40.21,40.17,0.04,0.17,0.22,40.19,,
,May,36.63,36.64,-0.01,-0.09,-0.09,36.635,,
,June,39.02,38.88,0.14,0.07,0.06,38.95,,
,July,36.07,34.64,1.43,-0.08,-0.11,35.355,,
,August,33.07,31.1,1.97,-0.08,-0.1,32.085,,
,September,32.67,31.23,1.44,-0.01,0,31.95,,
,October,31.36,30.45,0.91,-0.04,-0.02,30.905,,
,November,27.29,27.21,0.08,-0.13,-0.11,27.25,,
,December,23.47,23.12,0.35,-0.14,-0.15,23.295,,
2010,January,22.65,21.71,0.94,-0.03,-0.06,22.18,,
,February,27.06,25.46,1.6,0.19,0.17,26.26,,
,March,35.64,34.28,1.36,0.32,0.35,34.96,,
,April,40.64,40.76,-0.12,0.14,0.19,40.7,,
,May,37.96,38.17,-0.21,-0.07,-0.06,38.065,,
,June,37.79,38.96,-1.17,0,0.02,38.375,,
,July,38.77,37.35,1.42,0.03,-0.04,38.06,,
,August,31.78,29.38,2.4,-0.18,-0.21,30.58,,
,September,32.44,31.18,1.26,0.02,0.06,31.81,,
,October,31.35,30.68,0.67,-0.03,-0.02,31.015,,
,November,27.51,27.4,0.11,-0.12,-0.11,27.455,,
,December,23.09,23.09,0,-0.16,-0.16,23.09,,
2011,January,22.03,21.3,0.73,-0.05,-0.08,21.665,,
,February,26.98,25.8,1.18,0.22,0.21,26.39,,
,March,34.3,32.72,1.58,0.27,0.27,33.51,,
,April,38.73,38.24,0.49,0.13,0.17,38.485,,
,May,36.45,36.25,0.2,-0.06,-0.05,36.35,,
,June,37.59,38.04,-0.45,0.03,0.05,37.815,,
,July,36.61,35.08,1.53,-0.03,-0.08,35.845,,
,August,33.96,32.19,1.77,-0.07,-0.08,33.075,,
,September,32.22,30.58,1.64,-0.05,-0.05,31.4,,
,October,32.17,31.42,0.75,0,0.03,31.795,,
,November,28.52,28.47,0.05,-0.11,-0.09,28.495,,
,December,23.58,23.53,0.05,-0.17,-0.17,23.555,,
2012,January,19.9,18.95,0.99,-0.15,-0.19,19.445,,
,February,23.5,22.01,1.48,0.18,0.16,22.75,,
,March,31.7,30.97,0.75,0.35,0.41,31.345,,
,April,38.2,37.71,0.52,0.21,0.22,37.97,,
,May,41,40.53,0.47,0.07,0.07,40.765,,
,June,38.7,39.26,-0.52,-0.06,-0.03,39,,
,July,33,32.21,0.81,-0.15,-0.18,32.615,,
,August,30.9,29.57,1.33,-0.06,-0.08,30.235,,
,September,33,31.24,1.77,0.07,0.06,32.125,,
,October,31.7,30.97,0.75,-0.04,-0.01,31.345,,
,November,27.2,27.04,0.2,-0.14,-0.13,27.14,,
,December,23.6,23.29,0.32,-0.13,-0.14,23.45,,
2013,January,20.9,19.9,1.02,-0.11,-0.15,20.41,,
,February,25.2,23.46,1.76,0.21,0.18,24.34,,
,March,33.3,31.61,1.67,0.32,0.35,32.445,,
,April,38.6,37.86,0.72,0.16,0.2,38.22,,
,May,38.6,38.45,0.13,0,0.02,38.515,,
,June,33.8,32.31,1.45,-0.12,-0.16,33.035,,
,July,35.9,35.85,0.03,0.06,0.11,35.865,,
,August,33.6,31.86,1.76,-0.06,-0.11,32.74,,
,September,31.9,30.22,1.68,-0.05,-0.05,31.06,,
,October,31.3,30.35,0.92,-0.02,0,30.81,,
,November,27.6,27.55,0.07,-0.12,-0.09,27.585,,
,December,23.2,23.2,0.02,-0.16,-0.16,23.21,,
2014,January,20.6,20.12,0.43,-0.11,-0.13,20.335,,
,February,24.1,22.92,1.22,0.17,0.14,23.53,,
,March,33.2,31.41,1.76,0.37,0.37,32.29,,
,April,39.5,38.89,0.57,0.19,0.24,39.175,,
,May,40.6,40.41,0.18,0.03,0.04,40.5,,
,June,39.5,39.92,-0.43,-0.03,-0.01,39.705,,
,July,32.9,31.46,1.47,-0.17,-0.21,32.195,,
,August,34.3,32.88,1.44,0.04,0.05,33.6,,
,September,32.9,31.01,1.86,-0.04,-0.06,31.94,,
,October,31.7,30.49,1.17,-0.04,-0.02,31.075,,
,November,27.5,27.44,0.08,-0.13,-0.1,27.48,,
,December,20.1,19.29,0.84,-0.27,-0.3,19.71,,
2015,January,19.8,18.29,1.48,-0.02,-0.05,19.03,,
,February,26.2,24.54,1.62,0.32,0.34,25.35,,
,March,32.4,30.65,1.72,0.24,0.25,31.51,,
,April,36.2,35.61,0.62,0.12,0.16,35.92,,
,May,38.8,38.64,0.14,0.07,0.09,38.71,,
,June,39.2,40.11,-0.91,0.01,0.04,39.655,,
,July,35,33.43,1.53,-0.11,-0.17,34.195,,
,August,34,32.52,1.43,-0.03,-0.03,33.235,,
,September,35.5,33.92,1.54,0.04,0.04,34.69,,
,October,34.2,33.38,0.79,-0.04,-0.02,33.775,,
,November,30,29.79,0.16,-0.12,-0.11,29.87,,
,December,21.7,21.6,0.08,-0.28,-0.27,21.64,,
2016,January,22.6,22.18,0.39,0.04,0.03,22.375,,
,February,28,26.59,1.36,0.24,0.2,27.27,,
,March,34.6,33.04,1.56,0.24,0.24,33.82,,
,April,39.4,39.4,0.02,0.14,0.19,39.41,,
,May,37.8,37.94,-0.19,-0.04,-0.04,37.845,,
,June,36.7,36.24,0.47,-0.03,-0.04,36.475,,
,July,32.9,31.25,1.67,-0.1,-0.14,32.085,,
,August,33.9,32.5,1.43,0.03,0.04,33.215,,
,September,31.8,30.45,1.31,-0.06,-0.06,31.105,,
,October,31.8,31.15,0.64,0,0.02,31.47,,
,November,27.4,27.4,0.01,-0.14,-0.12,27.405,,
,December,22.2,22.22,-0.06,-0.19,-0.19,22.19,,
2017,January,21.9,21.22,0.66,-0.01,-0.05,21.55,,
,February,27.4,25.9,1.46,0.25,0.22,26.63,,
,March,33.6,32.13,1.51,0.23,0.24,32.885,,
,April,38.2,38,0.17,0.13,0.18,38.085,,
,May,38.5,38.66,-0.18,0.01,0.02,38.57,,
,June,38,38.91,-0.92,-0.01,0.01,38.45,,
,July,36.2,35.23,1.01,-0.05,-0.09,35.735,,
,August,31.6,30.04,1.58,-0.13,-0.15,30.83,,
,September,33.1,31.49,1.62,0.05,0.05,32.3,,
,October,32.3,31.55,0.7,-0.03,0,31.9,,
,November,27.9,27.7,0.18,-0.14,-0.12,27.79,,
,December,23.4,23.35,0.08,-0.16,-0.16,23.39,,
2018,January,21.9,20.98,0.92,-0.07,-0.1,21.44,,
,February,27.8,26.23,1.55,0.27,0.25,27.005,,
,March,35,33.44,1.6,0.26,0.27,34.24,,
,April,37.5,36.89,0.58,0.07,0.1,37.18,,
,May,37.2,37.26,-0.09,-0.01,0.01,37.215,,
,June,37.1,37.83,-0.69,0,0.02,37.485,,
,July,36.9,36.45,0.4,-0.01,-0.04,36.65,,
,August,32.3,30.64,1.64,-0.12,-0.16,31.46,,
,September,33.2,31.42,1.73,0.03,0.03,32.285,,
,October,32.4,31.66,0.71,-0.02,0.01,32.015,,
,November,28,27.98,0.05,-0.13,-0.12,28.005,,
,December,22.7,22.59,0.15,-0.19,-0.19,22.665,,
